index,pos,block_num,PEDOT_spd,PEDOT_rt,Grid_rt,Electrode_dep_T,Electrode_anneal_T,Grid_anneal_T,Electrode_amb_dep_T,Electrode_dep_humidity,DD_S315,DD_PV416,DD_PGMEA,T_air_Grid,Grid_Dep_Humidity,Web_speed_Grid,Web_speed_Active,Flow0_Active,Flow1_Active,Flow2_Active,Active_layer_Head_T,Active_layer_annealing_T,Active_layer2_annealing_T,Active_amb_dep_T,Active_humid,DD_DCB,DD_Y6,DD_PD10,Web_speed_ETL,Flow0_ETL,T_heater1_ETL,T_heater2_ETL,T_air_ETL,Humidity_ETL,DD_IPA,DD_ZnO,TDD of active,Donor fraction,voc,jsc,ff,pce
0,5,1,600,200,0.3,59.99,139.99,130,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.01,26.59,42.3,500,14,26.66666667,0.4,0,-7.150948571,0,0.3858
1,10,1,600,200,0.3,59.99,139.99,130,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.01,26.59,42.3,500,14,26.66666667,0.4,0,-8.602954286,0,0.265309143
2,15,1,600,200,0.3,59.99,139.99,130,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.01,26.59,42.3,500,14,26.66666667,0.4,0.206659151,-9.218468571,26.65789574,0.507854476
3,20,1,600,200,0.3,59.99,139.99,130,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.01,26.59,42.3,500,14,26.66666667,0.4,0.39089915,-10.09858095,30.13812355,1.189710476
4,25,1,600,200,0.3,59.99,139.99,129.9966667,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.0083333,26.59,42.3,500,14,26.66666667,0.4,0.410122012,-10.46704762,28.59284245,1.227424
5,30,1,600,200,0.3,59.99,139.99,129.9933333,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,74.81,32.58,130,24.6,47.69,1333.333333,16,10.66666667,300,15,129.98,130.0066667,26.59,42.3,500,14,26.66666667,0.4,0,-7.721134286,0,0.068557905
6,35,1,600,200,0.3,59.98666667,139.9816667,129.99,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,75.25166667,33.03166667,129.9983333,24.6,47.695,1333.333333,16,10.66666667,300,15,129.98,130.005,26.59,42.31166667,500,14,26.66666667,0.4,0.317077723,-9.309504762,28.36136978,0.837181286
7,40,1,600,200,0.3,59.98333333,139.9733333,129.9866667,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,75.69333333,33.48333333,129.9966667,24.6,47.7,1333.333333,16,10.66666667,300,15,129.98,130.0033333,26.59,42.32333333,500,14,26.66666667,0.4,0.392021057,-9.797733333,32.28023129,1.239857143
8,45,1,600,200,0.3,59.98,139.965,129.9833333,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,76.135,33.935,129.995,24.6,47.705,1333.333333,16,10.66666667,300,15,129.98,130.0016667,26.59,42.335,500,14,26.66666667,0.4,0.414016428,-10.50804762,33.44385106,1.45497619
9,50,1,600,200,0.3,59.97666667,139.9566667,129.98,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,76.57666667,34.38666667,129.9933333,24.6,47.71,1333.333333,16,10.66666667,300,15,129.98,130,26.59,42.34666667,500,14,26.66666667,0.4,0.294682598,-9.092951429,28.46563672,0.762746571
10,55,1,600,200,0.3,59.97333333,139.9483333,129.9783333,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,77.01833333,34.83833333,129.9916667,24.6,47.715,1333.333333,16,10.66666667,300,15,129.98,130.0016667,26.59,42.35833333,500,14,26.66666667,0.4,0.458459357,-9.420845714,32.65246213,1.410284286
11,60,1,600,200,0.3,59.97,139.94,129.9766667,24.54,49.75,6666.666667,3000,2000,24.54,49.75,600,300,40,0,0,77.46,35.29,129.99,24.6,47.72,1333.333333,16,10.66666667,300,15,129.98,130.0033333,26.59,42.37,500,14,26.66666667,0.4,0.302872955,-8.979639048,27.87800591,0.758195286
